Series Name,Series Code,Country Name,Country Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Afghanistan,AFG,101.5962439,101.6521742,103.1602712,103.0303035,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,132.9009853,150.7873009,153.1428302,150.0718895,147.6147641,140.5263326,137.0795709,127.4916395,134.9196286,138.0866741,133.6255471,143.4498799,139.2061771
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Albania,ALB,..,..,..,..,..,99.59389947,98.53232065,104.5025375,102.6124139,101.9642641,102.214316,100.4100046,100.096214,102.8357255,102.7782244,108.3268901,120.3672273,177.0218104,146.8700224,127.5986375,122.0366735,120.8286685,124.4443411,123.792735,116.3962859,120.1862607,120.5672191,124.7364922,124.7288001,122.3919526,124.6471541,123.5870581,126.7039787,126.8469012,124.6134301,120.5845291,122.7355471,118.6352005,118.0410744,118.9818764
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Algeria,DZA,109.276663,104.064089,111.1537504,114.6328954,101.7174489,96.00000023,96.29049209,98.07321862,97.86050513,101.7563513,103.1582549,110.3171959,104.139635,107.0958515,109.874793,101.4933435,94.48194237,98.54989568,101.3550594,103.5229873,102.8014533,94.18425123,90.43128875,99.93774254,94.62888246,78.71890744,85.32755298,90.12509863,85.62711386,85.59497318,76.86821112,73.10863764,77.80179984,80.73783178,100.5810271,92.97756606,89.89836769,91.62388379,97.19102801,101.7075419
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,102.6315789,101.3605442,..,..,..,..,..,..,73.17544708,99.55790723,88.37801492,93.60419815,83.89455952,67.62016793,59.18200914,69.55744012,74.90812547,100.5009956,80.57523756,76.81025187,77.14497753,83.69112359,94.22922793
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Argentina,ARG,100.1546207,96.74610803,97.71050174,97.1070165,99.81885371,101.4217271,100.4508785,97.43049994,96.68462873,97.16659081,94.53722903,98.1620777,99.70255826,96.68023266,93.52097988,94.27178581,98.40296746,101.5346056,102.4044482,103.0744057,100.4105115,100.6492749,102.2145469,102.5189142,101.728343,100.6497099,98.69415987,84.98744321,88.78287194,92.99740726,94.0595175,94.38009066,95.61967,96.28087261,94.93515679,97.10336645,98.30773671,98.05082345,100.0995822,99.59583647
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111.3297555,119.3750784,121.4352494,113.5351945,133.7727507,138.259012,132.749556,138.0012047,133.8364121,129.0438997,127.1680107,120.6804148,117.2303175,117.8823565,115.5675524,114.4204848,115.8912213,119.9651705,125.6086551,127.5299325,124.4870972,123.5971582,120.8332996,119.8379428,118.4814074
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.12809744,101.607445,102.0647773,103.7199125,103.991949,104.6928961,96.30085762,98.04612381,104.4658892,107.7473723,103.492436,109.3852606,112.4823507,110.5374888,108.6659423,112.4902472,113.3138941,115.6642939,..,..,..
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Australia,AUS,100.4540279,99.8605987,100.6309214,100.965746,101.048432,99.47317509,101.8322869,103.2927038,102.0326794,101.4288058,102.0496775,103.0723991,101.5996976,100.6606039,101.8332826,101.9267999,100.1326775,99.72753463,100.3209523,100.5155215,101.9677819,100.4539432,99.72518914,100.8792767,102.4482051,102.1606727,99.91373023,100.0080908,102.1068461,102.7167627,102.744011,101.8176815,101.6464159,102.5504003,99.78796823,101.0313461,99.03225738,100.2491315,101.2981442,100.4283183
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Austria,AUT,100.4098624,102.4112288,104.3696821,101.4378018,101.5556687,103.4388626,102.3952271,100.6341211,101.5157873,101.0729708,100.2405187,100.0191678,100.041313,100.4206979,100.5079533,100.0935402,100.8674297,101.3196322,100.3372545,101.6700256,101.1903204,101.5851189,100.8115247,100.225107,99.54606457,98.66794771,98.30155373,96.3093956,97.24655298,97.05791574,96.79430127,96.40497348,95.61151522,95.5759615,96.64739785,96.49547558,97.20544693,97.20482503,97.18382749,96.73007737
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.36152797,95.54640719,68.39277193,118.5559135,105.9074553,113.6091574,126.0319544,124.0024887,131.8289436,113.8940632,99.33673513,96.39488863,107.2804102,123.5396362,123.9284046,89.96058455,72.25311103,60.38275877,57.69062117,71.47255031,66.37654539,67.65408394,72.31389183,78.32388024,82.94475388
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,"Bahamas, The",BHS,..,..,83.49228612,84.85103316,91.33181336,92.4960683,94.98773221,93.76544383,91.44736842,94.71853412,94.48011352,94.08695652,94.48047143,..,103.3373612,101.7984839,104.2164337,100.9675137,99.42658473,102.3590058,105.3671624,109.7813799,105.974076,108.4118468,102.7889592,103.5498182,104.3557034,97.92707259,99.44307217,99.57152118,103.876497,110.9321596,107.8289073,108.4419533,108.139684,108.7690278,113.4631521,107.9968285,105.615567,111.9801411
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Bahrain,BHR,..,..,..,..,..,91.13201796,88.87952297,87.79544062,96.26888351,97.35784814,88.07078144,86.10264006,85.0321456,82.15645428,88.98602602,79.04930835,110.6354842,112.3600537,96.8547026,92.79163118,88.48322217,88.28837067,90.42851378,99.28175562,84.09720764,77.44782112,79.80476817,86.17220252,83.9654501,83.52702711,80.52543291,77.8266431,78.42599211,80.72779445,81.03253768,81.39775904,75.32347505,81.59446588,82.26380828,83.46314815
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Bangladesh,BGD,105.2054683,112.8901114,105.3406943,109.9231886,109.6886246,112.3886635,108.9854328,110.4563245,109.1091826,110.0192169,107.4532274,106.6528786,106.7076984,106.8214624,107.2448866,107.149869,105.5646029,104.7606517,105.087045,104.8627773,106.4802276,106.6630724,105.2847723,104.3654009,104.8706558,104.6333119,105.3248987,104.1474429,104.7955875,104.5652163,105.6112511,105.4049973,105.951713,107.3031971,106.2125304,105.7546173,107.5766999,107.787745,107.2206545,106.5347602
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.2408158,100.8595705,93.23389205,95.47564087,92.90947329,98.21079239,97.48505463,102.7128759,103.1929982,104.7225248,104.0253083,104.3299697,105.3902701,104.0917905,108.5008608,107.8272137,104.5483446,103.8076817,107.447963,103.1641502,109.210718,110.7211054,108.5646483,110.4921409,109.9189515
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.69053118,100,97.82608696,115.7360406,112.8365087,104.3878652,104.0752923,105.796418,104.8554391,102.4284351,103.1875233,103.549717,103.7470264,103.8290925,106.3638437,99.28873425,104.1724804,106.2677725,107.7239681,111.2508385,113.1722023,101.043532,95.53145476,103.148809,100.7694163
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Belgium,BEL,99.97541467,100.0068949,100.9523961,101.0674134,102.0277707,103.1170914,102.4178908,102.0687616,99.9774833,99.80475849,99.35688538,98.12283297,98.53497041,97.98241756,98.20381076,98.62696436,98.50927862,97.8240428,97.15605263,96.75720558,96.5360337,97.17452432,96.57315372,96.68995981,96.19979036,97.36389618,96.65372906,94.49533947,94.79812409,95.29789348,96.33377081,96.27162135,96.18194873,99.51607879,97.73720537,98.20326184,99.48257257,99.38330338,98.75804086,99.36589258
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Belize,BLZ,..,..,..,..,..,113.1964056,121.9543805,122.5941423,115.9259259,107.7050735,112.81377,102.6113671,102.1334298,105.8272467,109.3900592,97.84529718,110.5796727,103.1997682,103.4936075,102.6062999,101.1499976,100.262456,102.9278664,104.3462305,112.2972529,120.7013223,118.2311255,113.570291,112.751157,107.9528296,108.0346022,100.5179316,100.1237706,107.2817126,104.5992009,99.25946601,103.0096524,100.4693105,105.5070718,105.501989
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Benin,BEN,118.8847361,118.0372651,118.6018803,118.0202762,119.5054092,121.5055938,128.0283712,122.3152637,117.8134335,111.3525528,112.9959813,115.9395758,115.683079,118.2793496,111.3095094,107.3575761,109.3397447,110.2624497,110.4530331,107.746442,109.062255,103.5201683,104.3593604,105.4077462,117.2936417,113.7109119,116.5775945,111.1085016,110.7542515,108.7331491,107.9524824,109.7958273,112.6319469,110.7886416,111.956911,113.4175308,112.8118898,110.482689,113.1517871,112.3762892
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.02215633,83.1029588,81.20581807,81.89352053,81.92424794,..
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Bhutan,BTN,..,..,..,..,..,124.0575505,132.5986573,133.9984107,133.7128637,132.1995945,136.1446264,134.7904279,114.5441763,121.0435968,109.9196933,103.822242,107.9645906,123.9173682,112.5252088,109.8972988,104.8605906,110.1801915,110.2112623,116.3175771,119.5866897,118.9103927,121.4619809,125.4571666,125.2992647,131.1369239,126.1985895,104.7584182,102.3269544,109.1689318,117.5021643,128.2784115,129.2807534,124.3132587,121.8156662,121.0533452
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,104.3713664,100.6582529,101.1493132,105.4862742,109.0193352,109.3055926,105.5342274,104.6351438,104.6925502,108.2484585,112.8837939,110.4064577,109.0482832,105.2835243,106.0813504,100.7663682,95.18748519,96.54565548,90.99442008,92.4705984,93.05390873,97.18182393,93.1367144,94.2969916,90.6163681,93.04594877,98.67829358
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,151.0561346,160.264631,144.963695,171.0602146,166.532696,146.8099319,147.5338993,146.5819396,152.8791372,145.2534763,139.9948453,127.9957342,129.3531134,132.4667419,123.7287387,121.5771305,123.7644037,123.5063958,120.391367,122.5820077
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Botswana,BWA,120.1979821,115.935085,118.4089415,116.4638511,111.1269081,113.3830574,121.8252643,114.7122147,100.4821713,97.15092641,84.94071053,80.79789063,73.31262312,73.40770917,86.91166885,94.73650627,93.49935702,93.3921284,92.01661061,92.53581236,92.92217596,83.29868631,86.84293805,103.2626951,88.53454462,88.26110955,90.20984909,87.5209205,88.18032685,91.77024732,82.65824497,81.82564165,86.07247369,105.3679759,117.084122,107.6288675,103.5675991,111.9333783,99.92409613,93.11228285
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Brazil,BRA,103.9670059,102.3969052,100.6653792,101.1888155,102.0516625,102.2531008,100.3790948,100.6647963,97.5865196,94.37680238,94.84735489,97.53798788,96.73271943,94.80432134,96.5316583,98.76177553,99.23697044,97.51684508,98.59277582,100.0028027,101.9267099,102.1751721,102.6089101,102.3775843,101.85237,102.2636653,102.1928637,99.15717686,97.77881731,96.58672945,96.59913632,97.29306723,98.63726114,100.1895683,100.4032335,101.0410086,100.7693798,101.3591955,102.301496,102.6615202
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.39657335,75.4583921,73.4949179,90.03668379,97.00030148,97.325004,96.11028316,100.7070567,101.3087988,106.9321534,92.58689239,68.46296163,69.66825882,74.50430849,66.67996389,62.99147675,57.1207223,53.49175345,60.04496573,49.3153707,63.00628391,60.55109684,60.524396,65.31949754,74.85312956,61.93153492
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Bulgaria,BGR,..,..,..,..,..,94.98080726,98.88417571,98.9335815,99.79137738,98.11498884,100.4071139,103.4362854,101.8370548,100.3304203,101.7377815,103.6086767,95.72586588,105.8266932,107.6279692,100.625,97.98510472,86.41223242,87.17493455,92.97571866,104.6202243,105.3454479,109.3901564,108.0369311,110.2587336,111.2364967,114.7701314,117.2167436,118.8315313,119.7581227,108.2770782,102.849481,99.62383883,103.1727039,100.4097834,100.9430951
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Burkina Faso,BFA,122.802862,118.8029908,122.483,120.2824101,121.0363093,122.3119866,122.158703,123.4283192,121.6899984,117.7968784,121.1046176,119.9806032,116.7223127,116.1322819,114.8970348,113.4892676,112.9011395,110.6810556,111.7219974,110.8259799,112.4663583,117.0530874,115.7913568,115.3235775,114.64959,115.4471783,113.8824221,112.5195367,113.3120925,114.4717039,116.0477267,113.8075153,114.3251302,116.3759446,115.0221582,110.413347,108.146616,111.6420124,114.9356624,109.0056194
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Burundi,BDI,110.7261249,102.9263929,99.69580869,108.518708,108.5594969,114.4826845,112.8943452,116.695471,115.7021797,112.0483029,109.7602832,110.5924021,115.9937288,113.3624132,113.1978214,119.902155,118.5878051,120.7277704,117.7790749,118.2099935,114.3519407,109.9330802,104.6044341,111.4405297,108.3882301,109.9157833,110.6056413,112.302221,114.613484,117.6706216,125.2418073,139.5876918,126.9653739,128.4344026,136.3211561,130.262411,128.3117836,128.5187222,126.8495313,125.7706372
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,130.1894154,126.1924529,125.8823319,129.0977099,128.8106705,119.4135333,114.3542031,120.3241604
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,116.6101105,112.8841132,115.398365,118.4335533,111.7007733,113.1431814,113.0885157,111.8397333,108.6609828,108.8486698,110.0398715,107.2996274,108.6625156,107.4279633,107.6162108,102.233758,106.6969484,105.4381527,105.4203317,104.8179084,105.2706151,104.405284
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Cameroon,CMR,102.8580756,104.7220223,102.7458032,104.4668308,107.1638481,99.24664271,106.5470717,95.6967178,98.90598432,97.51483185,98.12704626,99.44306582,103.9317824,99.92865912,97.06241051,97.13061664,94.64101843,97.76854768,98.61682676,97.85821862,96.97593098,99.91692008,100.0826371,99.91961705,100.2701991,99.03645014,102.4463246,103.2490168,104.7859156,101.5161606,101.7726065,100.6698985,100.7223669,103.864206,104.9659886,104.7795671,105.0721516,104.1507129,104.4699486,105.1886461
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Canada,CAN,101.6688327,100.651843,100.1190446,99.57954881,99.39081617,98.12153247,99.22913699,96.11503388,96.74546273,96.49793696,97.67444662,99.02316713,98.79739687,99.2110839,99.94006212,99.82279866,100.527563,100.3576721,99.98066097,98.83990896,96.88735339,96.08120202,98.09868769,98.06923114,96.4395653,94.38278996,94.33391349,95.66388555,96.18776068,95.60464491,96.11962502,97.32248944,97.88571189,98.27795971,101.476746,101.9168164,101.1993749,101.9699277,101.6467179,100.9838306
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Central African Republic,CAF,118.7896235,107.1397445,109.1205084,110.4654426,112.7003721,115.8592376,109.6762939,112.0467545,112.4672618,112.1076831,109.6274563,110.4362056,110.7061522,107.3091297,106.1592749,108.8080458,108.5359796,109.4976761,105.7895129,101.6192105,106.0340012,104.1436325,102.0499478,105.7357587,104.7650433,104.9153548,105.4159921,104.1831549,99.75921833,105.2481199,108.3454302,107.7638599,109.3502442,112.4301924,112.5511857,114.7025353,110.5127366,110.1329429,110.5534462,124.532427
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Chad,TCD,111.4479444,110.3002973,113.0185716,111.5448279,..,..,..,106.9328547,107.1226526,106.0352243,119.4203952,121.9816903,120.9832298,115.0850963,117.6272429,114.4266069,112.4462752,113.7230673,116.0004411,118.7771474,111.8385215,111.5230147,112.225429,111.0757308,113.8716262,117.7909791,134.990333,200.9709267,134.1129811,99.75087481,89.89219665,100.7443462,95.72403615,94.9006556,106.8327586,106.6994975,102.926561,103.6395113,105.5177324,108.3037974
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Chile,CHL,102.458806,96.36525779,102.2939377,103.8383959,103.4201083,104.7774656,110.673674,102.6389667,97.97408592,101.6598758,98.08172086,97.41336581,97.50515091,93.50759314,95.57287812,96.75653688,95.49226048,98.33046669,101.8477034,98.28854735,97.71464926,101.4768895,102.0057142,103.2788995,97.81500495,98.25242185,98.34586598,97.78585824,94.9981956,90.12892258,91.29712793,85.50843752,86.26940772,97.94143793,92.25565569,93.57349091,96.681751,100.028129,100.5745298,99.05124299
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,China,CHN,100.1447607,99.81596734,99.78769231,100.5382332,100.7608914,100.6016242,100.002026,97.65370957,98.88550165,99.9792265,104.0392516,102.4571242,99.89339604,101.300129,101.4170364,97.04371177,96.97396781,98.8292771,102.6514888,98.69631785,98.37205987,97.96815436,95.54668844,95.74005311,97.19917441,97.62364915,97.90306779,97.45791229,97.84247493,97.38284906,94.54817773,92.4088328,91.32825959,92.41372557,95.69212525,96.35447123,97.61118595,97.29146718,97.5552718,97.88644374
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Colombia,COL,98.27206609,96.80613271,96.36886231,97.14124477,98.23353843,99.36673946,103.5808435,104.2445872,102.7831112,100.5963825,98.7112067,93.15614303,95.96573571,97.57061216,95.81535113,94.25552108,92.56512578,98.04863763,102.3303939,105.9208138,106.4297445,105.6451838,105.9139806,105.8942214,99.45612181,100.836806,103.1268403,103.3514999,103.3655841,102.3219241,101.9344066,102.8989471,103.251429,102.4730934,102.2183824,101.8288789,101.1966562,101.778574,102.5541276,105.4466922
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Comoros,COM,..,..,..,..,..,143.2436566,137.4545115,138.1528879,133.8549506,146.5167762,133.0605083,125.0524266,127.2550168,123.786329,124.4065154,122.8942034,118.1961798,123.8099293,117.7417194,127.1748264,124.8030226,123.0572643,124.8809857,125.9026473,121.202156,105.121257,111.2013752,112.5772988,112.9694263,116.9939839,121.3681901,123.526252,125.9193954,134.636573,133.5617043,135.1979592,134.8852633,140.6312811,143.5310908,143.4241198
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,"Congo, Dem. Rep.",COD,105.1278169,107.4959866,109.3445309,96.8486144,97.39267855,99.87343619,103.0010743,101.8030096,101.052609,100.1042957,98.12326901,99.32052562,102.880364,102.3230273,99.34895015,99.7007641,100,101.1299435,97.77117385,97.26613364,95.2439548,100.3107306,96.24999995,103.0991302,93.90632098,104.1151789,101.0665678,97.97416003,106.0304701,103.8773876,106.4262391,104.5630626,101.9982275,105.7166931,109.3193037,108.525302,106.1669109,106.7456934,104.5742225,105.0257724
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,"Congo, Rep.",COG,127.8588808,126.1785857,119.6809628,117.34765,101.2156863,100.1109878,118.072734,113.2394366,93.81881882,83.99582681,99.2171405,113.834833,96.88658022,99.80273141,86.30460528,67.26463517,86.41536594,75.75651204,88.50345314,115.7022059,98.90336395,91.49123644,84.56490079,96.34640292,86.81404816,63.31558997,75.89242738,72.42322011,95.23704614,70.30861305,70.34722109,81.46028888,74.99362907,71.85099639,79.78744517,69.57825891,70.55267737,76.55412022,89.5395212,97.26588257
